Subject,Block,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,cond_TrueFalse,TF,cond_Typi,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi,Fam_tipi_cen,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
16,3,2,1,2,970,6.375,4.275862069,Horse,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.375,0.77555092,4.28,0.213466245,0.991725513,3.220892249,-1.277312345,1.7,0.743102877,6.138,70,17,19,0.84,female
16,3,2,1,2,1150,4.416666667,3.24137931,Yatch,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.416666667,-0.671108736,3.24,-0.685604411,0.047295068,2.276461804,2.249637685,5.27,0.552403622,6.05,70,17,19,0.84,female
16,3,2,1,2,1332,3.173913043,3.517241379,Cloak,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.173913043,-1.589155475,3.52,-0.443546926,0.021253266,2.250420002,-2.956812359,NA,-12.55817012,NA,70,17,19,0.84,female
16,3,2,1,2,898,6.625,4.275862069,Lion,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.625,0.960230877,4.28,0.213466245,0.433591096,2.662757832,-1.109362343,1.87,-0.394591539,5.613,70,17,19,0.84,female
16,3,2,1,2,1089,2.625,4.620689655,Olive,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,2.625,-1.994648422,4.62,0.50739319,-0.443836901,1.785329835,0.007011196,3,1.527570265,6.5,70,17,19,0.84,female
16,3,2,1,2,1036,6.708333333,6.206896552,Bus,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.708333333,1.021790862,6.21,1.881933903,0.782826378,3.011993115,0.13544355,3.13,1.341205084,6.414,70,17,19,0.84,female
16,3,2,1,2,834,6.75,5.310344828,Skirt,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.75,1.052570855,5.31,1.10389199,1.291709646,3.520876382,-0.980929989,2,0.623915843,6.083,70,17,19,0.84,female
16,2,2,1,2,904,6.958333333,6.551724138,Pants,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.958333333,1.206470818,6.55,2.175860848,0.997433169,3.226599905,-1.237794697,1.74,2.06932951,6.75,70,17,19,0.84,female
16,2,2,1,2,1111,4.75,3.344827586,Otter,Mammals,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.75,-0.424868795,3.34,-0.599155309,-0.766768738,1.462397998,1.083867087,4.09,0.333532887,5.949,70,17,19,0.84,female
16,2,2,1,2,961,6.833333333,4.448275862,Jeep,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.833333333,1.11413084,4.45,0.360429717,0.143745267,2.372912003,0.145322961,3.14,0.701929174,6.119,70,17,19,0.84,female
16,2,2,1,2,1735,5.333333333,6.172413793,Pajama,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.333333333,0.006051103,6.17,1.847354263,0.314901308,2.544068044,-0.892015283,2.09,-0.037030437,5.778,70,17,19,0.84,female
16,2,2,1,2,1016,7,5.482758621,Orange,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,7,1.237250811,5.48,1.250855463,0.566017854,2.79518459,-1.148879991,1.83,1.26535879,6.379,70,17,19,0.84,female
16,2,2,1,2,1042,6.541666667,3.586206897,Gorilla,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.541666667,0.898670891,3.59,-0.383032555,0.101247037,2.330413773,-0.279491748,2.71,-0.693642643,5.475,70,17,19,0.84,female
16,2,2,1,2,785,6.708333333,4.655172414,Truck,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.708333333,1.021790862,4.66,0.54197283,0.652217921,2.881384657,-0.803100576,2.18,-0.743484493,5.452,70,17,19,0.84,female
16,2,2,1,2,835,6.916666667,5.586206897,Banana,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.916666667,1.175690826,5.59,1.345949474,0.41428594,2.643452676,-1.148879991,1.83,1.252356568,6.373,70,17,19,0.84,female
16,2,2,1,2,876,5.666666667,2.965517241,Buffalo,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.666666667,0.252291045,2.97,-0.919016985,-0.115223384,2.113943352,1.083867087,4.09,-0.44443339,5.59,70,17,19,0.84,female
16,2,2,1,2,848,5.083333333,3.689655172,Ship,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.083333333,-0.178628853,3.69,-0.296583454,0.684117166,2.913283902,0.056408255,3.05,0.823283245,6.175,70,17,19,0.84,female
16,2,2,1,2,1256,5.583333333,6.137931034,Socks,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.583333333,0.190731059,6.14,1.821419532,0.63057183000000006,2.859738566,-1.474900582,1.5,0.628249917,6.085,70,17,19,0.84,female
16,2,2,1,2,1385,6.833333333,5,Grape,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.833333333,1.11413084,5,0.835899775,0.049586865,2.278753601,-1.079724108,1.9,-12.55817012,NA,70,17,19,0.84,female
16,2,2,1,2,1426,4.75,6.103448276,Shoe,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.75,-0.424868795,6.1,1.786839892,0.536501819,2.765668555,-1.336588816,1.64,-0.045698585,5.774,70,17,19,0.84,female
16,2,2,1,2,2542,5.75,6.655172414,Subway,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.75,0.31385103,6.66,2.27095486,0.716301849,2.945468585,1.212299441,4.22,-1.001361894,5.333,70,17,19,0.84,female
16,2,2,1,2,1281,5.958333333,4.689655172,Rabbit,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.958333333,0.467750993,4.69,0.567907561,0.504030529,2.733197265,-1.277312345,1.7,-0.463936723,5.581,70,17,19,0.84,female
16,2,2,1,2,726,6.375,4.482758621,Kiwi,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.375,0.77555092,4.48,0.386364448,-0.724016758,1.505149978,0.738087672,3.74,-0.10637562,5.746,70,17,19,0.84,female
16,2,2,1,2,1441,5.458333333,4.931034483,Bicycle,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.458333333,0.098391081,4.93,0.775385404,0.722656299,2.951823035,-1.069844696,1.91,0.727933618,6.131,70,17,19,0.84,female
16,2,2,1,2,886,6.333333333,3.586206897,Medlar,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.333333333,0.744770927,3.59,-0.383032555,-2.229166736,0,-2.956812359,NA,-12.55817012,NA,70,17,19,0.84,female
16,2,2,1,2,2621,4.916666667,3.275862069,Seal,Mammals,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.916666667,-0.301748824,3.28,-0.65102477,-0.118577026,2.11058971,-0.635150575,2.35,-0.570121535,5.532,70,17,19,0.84,female
16,2,2,1,2,1016,3.916666667,4.034482759,Cap,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.916666667,-1.040468649,4.03,-0.002656509,0.151044506,2.380211242,-0.93153293,2.05,0.920799909,6.22,70,17,19,0.84,female
16,2,2,1,2,1133,6.166666667,4,Dolphin,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.166666667,0.621650957,4,-0.028591239,-0.246895503,1.982271233,-0.210335865,2.78,1.274026938,6.383,70,17,19,0.84,female
16,2,2,1,2,1006,4.208333333,4.344827586,Tie,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.208333333,-0.8250087,4.34,0.265335706,0.540948559,2.770115295,0.392308258,3.39,-0.498609314,5.565,70,17,19,0.84,female
16,2,2,1,2,930,5.958333333,2.793103448,Grapefruit,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.958333333,0.467750993,2.79,-1.074625367,-0.616382879,1.612783857,1.2616965,4.27,-1.72298521,5,70,17,19,0.84,female
16,2,2,1,2,1278,2.75,3.379310345,Canoe,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,2.75,-1.902308444,3.38,-0.564575668,-0.146381366,2.08278537,0.708449437,3.71,0.149334744,5.864,70,17,19,0.84,female
16,2,2,1,2,928,4.75,2.896551724,Avocado,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.75,-0.424868795,2.9,-0.979531356,-0.575954222,1.653212514,1.982893565,5,-0.849669306,5.403,70,17,19,0.84,female
16,2,2,1,2,1046,3.416666667,5.379310345,Belt,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.416666667,-1.409828561,5.38,1.164406361,0.685176421,2.914343157,-0.763582929,2.22,0.743102877,6.138,70,17,19,0.84,female
16,2,2,1,2,1028,5.083333333,4.689655172,Mouse,Mammals,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.083333333,-0.178628853,4.69,0.567907561,0.957507131,3.186673867,-1.208156462,1.77,0.654254361,6.097,70,17,19,0.84,female
16,2,2,1,2,948,2.375,2.827586207,Sled,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,2.375,-2.179328379,2.83,-1.040045727,-0.102061938,2.127104798,-0.081903511,2.91,-0.780324122,5.435,70,17,19,0.84,female
16,2,2,1,2,1086,3.869565217,2.965517241,Cherry,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.869565217,-1.075263423,2.97,-0.919016985,-1.326076749,0.903089987,1.083867087,4.09,-1.985196685,4.879,70,17,19,0.84,female
16,2,2,1,2,1260,1.916666667,4.793103448,Necklace,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,1.916666667,-2.517908298,4.79,0.654356662,0.566017854,2.79518459,-0.55611528,2.43,-12.55817012,NA,70,17,19,0.84,female
16,1,2,1,2,1166,6.75,6.172413793,Dog,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.75,1.052570855,6.17,1.847354263,1.119721987,3.348888723,-1.672488819,1.3,0.732267692,6.133,70,17,19,0.84,female
16,1,2,1,2,866,7,6.620689655,Car,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,7,1.237250811,6.62,2.236375219,1.47652596,3.705692697,-1.218035874,1.76,-0.49427524,5.567,70,17,19,0.84,female
16,1,2,1,2,901,4.541666667,4.517241379,Robe,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.541666667,-0.578768758,4.52,0.420944088,0.030904652,2.260071388,-2.956812359,NA,-0.026195252,5.783,70,17,19,0.84,female
16,1,2,1,2,947,5.958333333,5.413793103,Airplane,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.958333333,0.467750993,5.41,1.190341092,1.050500208,3.279666944,-1.583574112,1.39,1.102831016,6.304,70,17,19,0.84,female
16,1,2,1,2,847,7,5.827586207,Apple,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,7,1.237250811,5.83,1.553427318,0.490164551,2.719331287,-1.544056464,1.43,1.68142989,6.571,70,17,19,0.84,female
16,1,2,1,2,1189,6.125,3.517241379,Giraffe,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.125,0.590870964,3.52,-0.443546926,-0.265378909,1.963787827,-0.941412342,2.04,-0.385923391,5.617,70,17,19,0.84,female
16,1,2,1,2,851,6.833333333,5.655172414,Shirt,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.833333333,1.11413084,5.66,1.406463845,0.963400717,3.192567453,-0.55611528,2.43,0.333532887,5.949,70,17,19,0.84,female
16,1,2,1,2,803,6.958333333,5.172413793,Pear,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.958333333,1.206470818,5.17,0.982863248,-0.242395002,1.986771734,-1.405744699,1.57,0.6975951,6.117,70,17,19,0.84,female
16,1,2,1,2,886,6.666666667,5.24137931,Blouse,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.666666667,0.99101087,5.24,1.043377619,0.357420569,2.586587305,-0.595632927,2.39,1.139670645,6.321,70,17,19,0.84,female
16,1,2,1,2,1134,6.333333333,4.896551724,Pig,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.333333333,0.744770927,4.9,0.749450674,0.949234605,3.178401342,-1.119241755,1.86,-0.255901172,5.677,70,17,19,0.84,female
16,1,2,1,2,1043,6.625,5.551724138,Van,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.625,0.960230877,5.55,1.311369834,0.667359481,2.896526217,-0.467200573,2.52,0.480891402,6.017,70,17,19,0.84,female
16,1,2,1,2,1160,3.666666667,3.068965517,Submarine,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.666666667,-1.225148605,3.07,-0.832567883,0.170506985,2.399673721,1.182661205,4.19,-0.51594561,5.557,70,17,19,0.84,female
16,1,2,1,2,880,4.041666667,5.724137931,Slipper,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.041666667,-0.94812867,5.72,1.458333306,-0.14998549,2.079181246,-0.941412342,2.04,-0.045698585,5.774,70,17,19,0.84,female
16,1,2,1,2,1099,5.541666667,5.551724138,Bra,Clothing,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.541666667,0.159951067,5.55,1.311369834,-0.014322888,2.214843848,-2.956812359,NA,-12.55817012,NA,70,17,19,0.84,female
16,1,2,1,2,1625,5.333333333,3.586206897,Whale,Mammals,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.333333333,0.006051103,3.59,-0.383032555,0.189134555,2.418301291,0.007011196,3,-0.10637562,5.746,70,17,19,0.84,female
16,1,2,1,2,1161,5.541666667,2.931034483,Hyena,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.541666667,0.159951067,2.93,-0.953596625,-0.547925499,1.681241237,1.311093559,4.32,-0.518112647,5.556,70,17,19,0.84,female
16,1,2,1,2,1168,5.52173913,2.896551724,Nectarine,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,5.52173913,0.1452302,2.9,-0.979531356,-2.229166736,0,-2.956812359,NA,-12.55817012,NA,70,17,19,0.84,female
16,1,2,1,2,1294,5.708333333,4.137931034,Street car/trolley,Vehicles,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,5.708333333,0.283071037,4.14,0.092437503,0.250840207,2.480006943,0.24411708,3.24,-2.386098526,4.694,70,17,19,0.84,female
16,1,2,1,2,1169,3.083333333,3.137931034,Rocket,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.083333333,-1.656068503,3.14,-0.772053512,-0.270125344,1.959041392,-0.091782923,2.9,0.407212144,5.983,70,17,19,0.84,female
16,1,2,1,2,879,4.791666667,2.517241379,Date,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.791666667,-0.394088802,2.52,-1.308037941,-1.627106745,0.602059991,2.032290624,5.05,-1.538787066,5.085,70,17,19,0.84,female
16,1,2,1,2,965,4.25,4.448275862,Cape,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.25,-0.794228707,4.45,0.360429717,0.675007632,2.904174368,-2.956812359,NA,-0.884341897,5.387,70,17,19,0.84,female
16,1,2,1,2,1031,2.458333333,4.344827586,Apron,Clothing,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,2.458333333,-2.117768393,4.34,0.265335706,-0.102061938,2.127104798,-2.956812359,NA,-1.296078924,5.197,70,17,19,0.84,female
16,1,2,1,2,795,4.416666667,3.517241379,Lime,Fruit,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.416666667,-0.671108736,3.52,-0.443546926,-0.011682792,2.217483944,0.767725908,3.77,-0.060867844,5.767,70,17,19,0.84,female
16,1,2,1,2,942,4.25,3.172413793,Wagon,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,4.25,-0.794228707,3.17,-0.746118782,0.192437191,2.421603927,-0.042385864,2.95,0.847120652,6.186,70,17,19,0.84,female
16,1,2,1,2,794,6.625,4.275862069,Cantaloupe,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.625,0.960230877,4.28,0.213466245,-0.176088293,2.053078443,-0.536356456,2.45,1.256690642,6.375,70,17,19,0.84,female
16,1,2,1,2,852,6.333333333,3.862068966,Blueberry,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.333333333,0.744770927,3.86,-0.149619981,-0.365843876,1.86332286,0.13544355,3.13,0.593577325,6.069,70,17,19,0.84,female
16,1,2,1,2,2581,3.875,2.862068966,Porcupine,Mammals,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,3.875,-1.071248641,2.86,-1.014110996,-0.697687819,1.531478917,-2.956812359,NA,-12.55817012,NA,70,17,19,0.84,female
16,1,2,1,2,925,1.75,5.689655172,Lift,Vehicles,aTRUE,-0.5,Atypical,1,healthy,-0.5,Old,1.75,-2.641028269,5.69,1.432398576,0.705836415,2.935003151,-0.220215277,2.77,0.329198813,5.947,70,17,19,0.84,female
16,1,2,1,2,818,6.52173913,3.103448276,Apricot,Fruit,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.52173913,0.883950025,3.1,-0.806633153,-1.326076749,0.903089987,0.738087672,3.74,-1.54312114,5.083,70,17,19,0.84,female
16,1,2,1,2,888,6.208333333,2.965517241,Zebra,Mammals,aTRUE,-0.5,Typical,1,healthy,-0.5,Old,6.208333333,0.652430949,2.97,-0.919016985,-0.251443131,1.977723605,-0.654909398,2.33,0.8557888,6.19,70,17,19,0.84,female
17,3,2,1,2,1662,7,5,Peach,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,7,1.237250811,5,0.835899775,-0.047323148,2.181843588,-0.793221164,2.19,1.04215398,6.276,67,17,17,0.94,female
17,3,2,1,2,1614,6.916666667,6.413793103,Jacket,Clothing,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.916666667,1.175690826,6.41,2.054832106,0.987526863,3.216693599,-0.882135871,2.1,0.032314746,5.81,67,17,17,0.94,female
17,3,2,1,2,3092,2.666666667,2.75862069,Raft,Vehicles,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,2.666666667,-1.963868429,2.76,-1.100560098,-0.422986762,1.806179974,0.99495238,4,-0.570121535,5.532,67,17,17,0.94,female
17,3,2,1,2,1787,5.75,3.413793103,Coconut,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,5.75,0.31385103,3.41,-0.538640938,0.213313033,2.442479769,-0.803100576,2.18,-0.622130422,5.508,67,17,17,0.94,female
17,3,2,1,2,2183,6.666666667,4.931034483,Taxi,Vehicles,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.666666667,0.99101087,4.93,0.775385404,0.845649704,3.074816441,0.056408255,3.05,1.154839904,6.328,67,17,17,0.94,female
17,3,2,1,2,1326,6.875,5.137931034,Strawberry,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.875,1.144910833,5.14,0.956928518,0.06968634,2.298853076,-1.178518226,1.8,0.87745917,6.2,67,17,17,0.94,female
17,3,2,1,2,1713,6.291666667,5.137931034,Cow,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.291666667,0.713990935,5.14,0.956928518,0.817718455,3.046885191,-1.277312345,1.7,1.0139825,6.263,67,17,17,0.94,female
17,3,2,1,2,1846,6.125,5.931034483,Train,Vehicles,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.125,0.590870964,5.93,1.639876419,0.81966335,3.048830087,-1.30695058,1.67,1.471227303,6.474,67,17,17,0.94,female
17,3,2,1,2,1478,6.541666667,5.068965517,Pineapple,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.541666667,0.898670891,5.07,0.896414147,-0.342676011,1.886490725,-0.55611528,2.43,-0.871339675,5.393,67,17,17,0.94,female
17,3,2,1,2,1755,5.833333333,3.448275862,Leopard,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,5.833333333,0.375411015,3.45,-0.504061297,-0.121956767,2.10720997,0.392308258,3.39,1.453891007,6.466,67,17,17,0.94,female
17,3,2,1,2,1462,4.916666667,5.103448276,Lemon,Fruit,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.916666667,-0.301748824,5.1,0.922348877,0.322283262,2.551449998,-1.079724108,1.9,0.920799909,6.22,67,17,17,0.94,female
17,3,2,1,2,1911,4.666666667,6.034482759,Boots,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.666666667,-0.48642878,6.03,1.726325521,0.747641601,2.976808337,-1.326709404,1.65,-0.656803014,5.492,67,17,17,0.94,female
17,3,2,1,2,1745,5.333333333,3.344827586,Tractor,Vehicles,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,5.333333333,0.006051103,3.34,-0.599155309,-0.168468896,2.06069784,0.263875904,3.26,0.203510668,5.889,67,17,17,0.94,female
17,3,2,1,2,1882,4.416666667,4.965517241,Scarf,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.416666667,-0.671108736,4.97,0.809965045,-0.125363015,2.103803721,-0.170818218,2.82,-0.169219693,5.717,67,17,17,0.94,female
17,3,2,1,2,1739,4.875,4.517241379,Leotards,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.875,-0.332528817,4.52,0.420944088,-0.29974781,1.929418926,-2.956812359,NA,-12.55817012,NA,67,17,17,0.94,female
17,3,2,1,2,3375,5.608695652,2.724137931,Cougar,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,5.608695652,0.209466707,2.72,-1.135139738,-0.41625338,1.812913357,-2.956812359,NA,-12.55817012,NA,67,17,17,0.94,female
17,3,2,1,2,2056,5.458333333,3.482758621,Camel,Mammals,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,5.458333333,0.098391081,3.48,-0.478126567,0.06529949,2.294466226,-0.279491748,2.71,0.667256582,6.103,67,17,17,0.94,female
17,3,2,1,2,1732,3.5,3.068965517,Shawl,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,3.5,-1.348268576,3.07,-0.832567883,-0.710652796,1.51851394,-2.956812359,NA,-12.55817012,NA,67,17,17,0.94,female
17,3,2,1,2,1505,6.291666667,3.793103448,Raspberry,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.291666667,0.713990935,3.79,-0.210134352,-0.265378909,1.963787827,-2.956812359,NA,-12.55817012,NA,67,17,17,0.94,female
17,3,2,1,2,2755,3.958333333,3.275862069,Bat,Mammals,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,3.958333333,-1.009688656,3.28,-0.65102477,0.063089335,2.292256071,0.431825905,3.43,0.301027332,5.934,67,17,17,0.94,female
17,3,2,1,2,2071,4.208333333,3.24137931,Tricycle,Vehicles,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.208333333,-0.8250087,3.24,-0.685604411,-0.627106745,1.602059991,-1.020447637,1.96,0.181840298,5.879,67,17,17,0.94,female
17,3,2,1,2,1986,6.375,4.275862069,Horse,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.375,0.77555092,4.28,0.213466245,0.991725513,3.220892249,-1.277312345,1.7,0.743102877,6.138,67,17,17,0.94,female
17,3,2,1,2,1546,4.416666667,3.24137931,Yatch,Vehicles,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.416666667,-0.671108736,3.24,-0.685604411,0.047295068,2.276461804,2.249637685,5.27,0.552403622,6.05,67,17,17,0.94,female
17,3,2,1,2,2254,3.173913043,3.517241379,Cloak,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,3.173913043,-1.589155475,3.52,-0.443546926,0.021253266,2.250420002,-2.956812359,NA,-12.55817012,NA,67,17,17,0.94,female
17,3,2,1,2,1518,6.625,4.275862069,Lion,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.625,0.960230877,4.28,0.213466245,0.433591096,2.662757832,-1.109362343,1.87,-0.394591539,5.613,67,17,17,0.94,female
17,3,2,1,2,1532,6.791666667,3.965517241,Plum,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.791666667,1.083350848,3.97,-0.05452597,-0.315352884,1.913813852,-0.18069763,2.81,0.840619541,6.183,67,17,17,0.94,female
17,3,2,1,2,2297,2.625,4.620689655,Olive,Fruit,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,2.625,-1.994648422,4.62,0.50739319,-0.443836901,1.785329835,0.007011196,3,1.527570265,6.5,67,17,17,0.94,female
17,3,2,1,2,1785,6.708333333,6.206896552,Bus,Vehicles,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.708333333,1.021790862,6.21,1.881933903,0.782826378,3.011993115,0.13544355,3.13,1.341205084,6.414,67,17,17,0.94,female
17,3,2,1,2,1967,6.75,5.310344828,Skirt,Clothing,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.75,1.052570855,5.31,1.10389199,1.291709646,3.520876382,-0.980929989,2,0.623915843,6.083,67,17,17,0.94,female
17,2,2,1,2,1701,6.958333333,6.551724138,Pants,Clothing,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.958333333,1.206470818,6.55,2.175860848,0.997433169,3.226599905,-1.237794697,1.74,2.06932951,6.75,67,17,17,0.94,female
17,2,2,1,2,3103,4.75,3.344827586,Otter,Mammals,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,4.75,-0.424868795,3.34,-0.599155309,-0.766768738,1.462397998,1.083867087,4.09,0.333532887,5.949,67,17,17,0.94,female
17,2,2,1,2,1530,6.833333333,4.448275862,Jeep,Vehicles,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.833333333,1.11413084,4.45,0.360429717,0.143745267,2.372912003,0.145322961,3.14,0.701929174,6.119,67,17,17,0.94,female
17,2,2,1,2,1726,5.333333333,6.172413793,Pajama,Clothing,aTRUE,-0.5,Atypical,0.5,healthy,-0.5,Old,5.333333333,0.006051103,6.17,1.847354263,0.314901308,2.544068044,-0.892015283,2.09,-0.037030437,5.778,67,17,17,0.94,female
17,2,2,1,2,1408,7,5.482758621,Orange,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,7,1.237250811,5.48,1.250855463,0.566017854,2.79518459,-1.148879991,1.83,1.26535879,6.379,67,17,17,0.94,female
17,2,2,1,2,1639,6.541666667,3.586206897,Gorilla,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.541666667,0.898670891,3.59,-0.383032555,0.101247037,2.330413773,-0.279491748,2.71,-0.693642643,5.475,67,17,17,0.94,female
17,2,2,1,2,1782,6.708333333,4.655172414,Truck,Vehicles,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.708333333,1.021790862,4.66,0.54197283,0.652217921,2.881384657,-0.803100576,2.18,-0.743484493,5.452,67,17,17,0.94,female
17,2,2,1,2,1405,6.916666667,5.586206897,Banana,Fruit,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,6.916666667,1.175690826,5.59,1.345949474,0.41428594,2.643452676,-1.148879991,1.83,1.252356568,6.373,67,17,17,0.94,female
17,2,2,1,2,2348,5.666666667,2.965517241,Buffalo,Mammals,aTRUE,-0.5,Typical,0.5,healthy,-0.5,Old,5.666666667,0.252291045,2.97,-0.919016985,-0.115223384,2.113943352,1.083867087,4.09,-0.44443339,5.59,67,17,17,0.94,female
